candidate_rank,score_percentile,kaggle_record_id,pursue_record_id,kaggle_date,pursue_date,pursue_date_precision,pursue_date_hint_start,pursue_date_hint_end,kaggle_location,pursue_location,kaggle_text,pursue_text,pursue_text_kind,pursue_document_release,pursue_pdf_date_evidence,pursue_pdf_location_evidence,kaggle_source_file_or_link,pursue_source_file_or_link,pursue_extracted_text_path,transformer_similarity,lexical_text_similarity,tfidf_text_similarity,text_similarity,location_similarity,date_similarity,domain_entity_similarity,ner_similarity,entity_similarity,final_score,match_explanation,automated_rank_band,automated_rank_notes,manual_label,manual_notes
1,1.0,34262,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,2013-03-30,,none,1900.0,2030.0,"miami, fl, us [25.7739, -80.1939]",,Orange/red orbs in the night sky,"directly overhead to the horizon) until I could no longer see them . I did not pay attention to what the orange orb was doing after it released the red orbs. However, I don 't recall seeing it any longer. I do not recall any sound associated with what I saw. Also, there were no exhaust trails coming from either the orange or the red orbs. Although I could not tell how lai·ge the orange orb was, the red orbs were a lot smaller than the orange orb. Compai·atively, I' d say the red orbs were like grapes being expelled from a basketball. The time fraine for this explanation was maybe 30-45 seconds. ill a second occunence, also in mid-Oct 2023 , either the same night or the next night, I was out with my paitner again but at a different location. It was nearing full darkness, so I'd say the time was probably ~2000-2030 and the sky was cleai·.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.7898,0.055,0.3068,0.7898,,0.2,0.4,0.0,0.18,0.4954,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",likely same event,top 3% of exported candidates by final score; uses extracted official document text; score percentile 1.000; date support is weak; official location was not usable,,
2,0.998,61526,Western US Event,2013-07-03,2023,year,2023.0,2023.0,"walla walla, wa, us [46.0647, -118.3419]",Western United States,Two orange orbs seen in daylight.,"up at an angle,” while another witness stated sometimes the red orbs would “swoop down” after being launched from the larger orange orb. These events were witnessed by multiple teams from varying locations and vantage points over a two-day period. Due to the sequential nature of the events, it is not known whether there was a single orange “mother” orb that released the groups of red orbs or whether there were multiple orange orbs at play. “Large, Fiery Orb” • Location: Western U.S. • Time of Day: Dusk Artist Rendering • Two federal law enforcement special agents (USPER5 and USPER6) witness a glowing orange orb at a distance of “approximately 500-600 meters,”* where it was perched close to a rock pinnacle.",extracted_document_text,release_1,,usper6,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,https://www.war.gov/medialink/ufo/release_1/western_us_event_slides_5.08.2026.pdf,data/manual_text/Release_1/Release_1/Western_US_Event_Slides_5.08.2026.pdf.txt,0.8061,0.029,0.14,0.8061,0.85,0.0,0.125,0.125,0.125,0.4819,"used transformer_text, lexical_text, tfidf_text, date, entity, location",likely same event,top 3% of exported candidates by final score; uses extracted official document text; location is geographically compatible; score percentile 0.998; date support is weak,,
3,0.996,10290,Western US Event,2012-11-17,2023,year,2023.0,2023.0,"santa cruz, ca, us [36.9742, -122.0297]",Western United States,4 red/ orange orbs moved slowly across the sky together disappearing individually.,"“Orbs Launching Orbs” • Location: Western U.S. • Time of Day: Dusk (on two separate days) • Three teams of two federal law enforcement special agents each (USPER1 through USPER6) independently describe seeing orange “orbs” in the sky emit/launch smaller red “orbs” in groups of two to four, with three being the general consensus. This is stated to have occurred at least five times. Each time, the orange orb would appear, launch red orbs, then disappear. The orange orb was only visible for one or two seconds. The red orbs would generally move away from the orange “mother” orb in a horizontal path, but in a couple of instances, one red orb was stated to move “heading up at an angle,” while another witness stated sometimes the red orbs would “swoop down” after being launched from the larger orange orb. These events were witnessed by multiple teams from varying locations and vantage points …",extracted_document_text,release_1,,usper6,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,https://www.war.gov/medialink/ufo/release_1/western_us_event_slides_5.08.2026.pdf,data/manual_text/Release_1/Release_1/Western_US_Event_Slides_5.08.2026.pdf.txt,0.7843,0.0399,0.135,0.7843,0.85,0.0,0.25,0.1111,0.1736,0.4795,"used transformer_text, lexical_text, tfidf_text, date, entity, location",likely same event,top 3% of exported candidates by final score; uses extracted official document text; location is geographically compatible; score percentile 0.996; date support is weak,,
4,0.994,61462,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,2011-07-03,,none,1900.0,2030.0,"williamston, mi, us [42.6889, -84.2831]",,Two huge red orange orbs moving slowly and low in the sky -- one disappeared other I watched until gone from sight.,"directly overhead to the horizon) until I could no longer see them . I did not pay attention to what the orange orb was doing after it released the red orbs. However, I don 't recall seeing it any longer. I do not recall any sound associated with what I saw. Also, there were no exhaust trails coming from either the orange or the red orbs. Although I could not tell how lai·ge the orange orb was, the red orbs were a lot smaller than the orange orb. Compai·atively, I' d say the red orbs were like grapes being expelled from a basketball. The time fraine for this explanation was maybe 30-45 seconds. ill a second occunence, also in mid-Oct 2023 , either the same night or the next night, I was out with my paitner again but at a different location. It was nearing full darkness, so I'd say the time was probably ~2000-2030 and the sky was cleai·.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.8006,0.0526,0.0958,0.8006,,0.2,0.4,0.0,0.18,0.4772,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",likely same event,top 3% of exported candidates by final score; uses extracted official document text; score percentile 0.994; date support is weak; official location was not usable,,
5,0.992,77917,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,2013-09-26,,none,1900.0,2030.0,"new britain, ct, us [41.6611, -72.7800]",,15-18 Red/Orange orbs moving across the sky that disappeared quickly along with a single white light that lingered for a few minutes.,"colored cycle. When it was orange, the outline was well defined, but when it was clear, it did not seem to disappeai· as I vaguely recall still being able to see an outline of the orb although it was cleai·. ill ten ns of speed, I'd estimate the orb moved approximately 20 degrees in the sky in about three to five seconds. When the orb was at approximately 45 degrees (halfway between the horizon and directly overhead), it expelled three smaller red orbs. The expulsion appeared to be mechanical. The red orbs then moved to the south in a straight line spaced about one second apart, also at 45 degrees (from directly overhead to the horizon) until I could no longer see them . I did not pay attention to what the orange orb was doing after it released the red orbs. However, I don 't recall seeing it any longer.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.7915,0.0389,0.0645,0.7915,,0.2,0.5,0.0,0.225,0.4759,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",likely same event,top 3% of exported candidates by final score; uses extracted official document text; score percentile 0.992; date support is weak; official location was not usable,,
6,0.99,62491,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,2012-07-04,,none,1900.0,2030.0,"chicago, il, us [41.8500, -87.6500]",,RED/ORANGE ORBS ACCROSS THE NIGHT SKY,"directly overhead to the horizon) until I could no longer see them . I did not pay attention to what the orange orb was doing after it released the red orbs. However, I don 't recall seeing it any longer. I do not recall any sound associated with what I saw. Also, there were no exhaust trails coming from either the orange or the red orbs. Although I could not tell how lai·ge the orange orb was, the red orbs were a lot smaller than the orange orb. Compai·atively, I' d say the red orbs were like grapes being expelled from a basketball. The time fraine for this explanation was maybe 30-45 seconds. ill a second occunence, also in mid-Oct 2023 , either the same night or the next night, I was out with my paitner again but at a different location. It was nearing full darkness, so I'd say the time was probably ~2000-2030 and the sky was cleai·.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.7711,0.0453,0.1817,0.7711,,0.2,0.4,0.0,0.18,0.4716,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",likely same event,top 3% of exported candidates by final score; uses extracted official document text; score percentile 0.990; date support is weak; official location was not usable,,
7,0.988,52675,FBI Photo B8,1966-06-30,,none,2025.0,2025.0,"blocksburg, ca, us [40.2761, -123.6353]",Western United States,?,..,extracted_document_text,release_1,,,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b8.pdf,data/manual_text/Release_1/Release_1/FBI-Photo-B8.pdf.txt,0.6678,0.0,0.0,0.6678,0.85,,0.0,0.1667,0.0917,0.4697,"used transformer_text, lexical_text, tfidf_text, entity, location",likely same event,top 3% of exported candidates by final score; uses extracted official document text; location is geographically compatible; score percentile 0.988; official date is missing or only inferred,,
8,0.986,26520,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,,,none,1900.0,2030.0,"east glastonbury, ct, us [41.6942, -72.5342]",,4 or 5 orange orbs sighted moving across sky,"colored cycle. When it was orange, the outline was well defined, but when it was clear, it did not seem to disappeai· as I vaguely recall still being able to see an outline of the orb although it was cleai·. ill ten ns of speed, I'd estimate the orb moved approximately 20 degrees in the sky in about three to five seconds. When the orb was at approximately 45 degrees (halfway between the horizon and directly overhead), it expelled three smaller red orbs. The expulsion appeared to be mechanical. The red orbs then moved to the south in a straight line spaced about one second apart, also at 45 degrees (from directly overhead to the horizon) until I could no longer see them . I did not pay attention to what the orange orb was doing after it released the red orbs. However, I don 't recall seeing it any longer.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.734,0.0315,0.0689,0.734,,,0.2,0.0,0.09,0.4697,"used transformer_text, lexical_text, tfidf_text, entity; location ignored because PURSUE location is missing or non-terrestrial",likely same event,top 3% of exported candidates by final score; uses extracted official document text; score percentile 0.986; official date is missing or only inferred; official location was not usable,,
9,0.984,52675,FBI Photo B20,1966-06-30,,none,2025.0,2025.0,"blocksburg, ca, us [40.2761, -123.6353]",Western United States,?,..,extracted_document_text,release_1,,,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b20.pdf,data/manual_text/Release_1/Release_1/FBI-Photo-B20.pdf.txt,0.6678,0.0,0.0,0.6678,0.85,,0.0,0.1667,0.0917,0.4697,"used transformer_text, lexical_text, tfidf_text, entity, location",likely same event,top 3% of exported candidates by final score; uses extracted official document text; location is geographically compatible; score percentile 0.984; official date is missing or only inferred,,
10,0.982,52675,FBI Photo B3,1966-06-30,,none,2025.0,2025.0,"blocksburg, ca, us [40.2761, -123.6353]",Western United States,?,..,extracted_document_text,release_1,,,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b3.pdf,data/manual_text/Release_1/Release_1/FBI-Photo-B3.pdf.txt,0.6678,0.0,0.0,0.6678,0.85,,0.0,0.1667,0.0917,0.4697,"used transformer_text, lexical_text, tfidf_text, entity, location",likely same event,top 3% of exported candidates by final score; uses extracted official document text; location is geographically compatible; score percentile 0.982; official date is missing or only inferred,,
11,0.98,32454,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,2014-03-19,,none,1900.0,2030.0,"lewisville, tx, us [33.0461, -96.9939]",,Red/orange orbs in the sky.,"directly overhead to the horizon) until I could no longer see them . I did not pay attention to what the orange orb was doing after it released the red orbs. However, I don 't recall seeing it any longer. I do not recall any sound associated with what I saw. Also, there were no exhaust trails coming from either the orange or the red orbs. Although I could not tell how lai·ge the orange orb was, the red orbs were a lot smaller than the orange orb. Compai·atively, I' d say the red orbs were like grapes being expelled from a basketball. The time fraine for this explanation was maybe 30-45 seconds. ill a second occunence, also in mid-Oct 2023 , either the same night or the next night, I was out with my paitner again but at a different location. It was nearing full darkness, so I'd say the time was probably ~2000-2030 and the sky was cleai·.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.76,0.0459,0.2042,0.76,,0.2,0.4,0.0,0.18,0.4686,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",likely same event,top 3% of exported candidates by final score; uses extracted official document text; score percentile 0.980; date support is weak; official location was not usable,,
12,0.978,39456,Western US Event,2014-04-27,2023,year,2023.0,2023.0,"deer park, wa, us [47.9544, -117.4758]",Western United States,Orange orbs with beams of light.,"up at an angle,” while another witness stated sometimes the red orbs would “swoop down” after being launched from the larger orange orb. These events were witnessed by multiple teams from varying locations and vantage points over a two-day period. Due to the sequential nature of the events, it is not known whether there was a single orange “mother” orb that released the groups of red orbs or whether there were multiple orange orbs at play. “Large, Fiery Orb” • Location: Western U.S. • Time of Day: Dusk Artist Rendering • Two federal law enforcement special agents (USPER5 and USPER6) witness a glowing orange orb at a distance of “approximately 500-600 meters,”* where it was perched close to a rock pinnacle.",extracted_document_text,release_1,,usper6,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,https://www.war.gov/medialink/ufo/release_1/western_us_event_slides_5.08.2026.pdf,data/manual_text/Release_1/Release_1/Western_US_Event_Slides_5.08.2026.pdf.txt,0.751,0.0288,0.1574,0.751,0.85,0.0,0.25,0.125,0.1813,0.4673,"used transformer_text, lexical_text, tfidf_text, date, entity, location",likely same event,top 3% of exported candidates by final score; uses extracted official document text; location is geographically compatible; score percentile 0.978; date support is weak,,
13,0.976,69389,Western US Event,2013-08-24,2023,year,2023.0,2023.0,"silverdale, wa, us [47.6447, -122.6936]",Western United States,Orange Orbs in night sky,"up at an angle,” while another witness stated sometimes the red orbs would “swoop down” after being launched from the larger orange orb. These events were witnessed by multiple teams from varying locations and vantage points over a two-day period. Due to the sequential nature of the events, it is not known whether there was a single orange “mother” orb that released the groups of red orbs or whether there were multiple orange orbs at play. “Large, Fiery Orb” • Location: Western U.S. • Time of Day: Dusk Artist Rendering • Two federal law enforcement special agents (USPER5 and USPER6) witness a glowing orange orb at a distance of “approximately 500-600 meters,”* where it was perched close to a rock pinnacle.",extracted_document_text,release_1,,usper6,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,https://www.war.gov/medialink/ufo/release_1/western_us_event_slides_5.08.2026.pdf,data/manual_text/Release_1/Release_1/Western_US_Event_Slides_5.08.2026.pdf.txt,0.7777,0.02,0.1257,0.7777,0.85,0.0,0.125,0.1111,0.1174,0.4661,"used transformer_text, lexical_text, tfidf_text, date, entity, location",likely same event,top 3% of exported candidates by final score; uses extracted official document text; location is geographically compatible; score percentile 0.976; date support is weak,,
